Species,Species_Label,FOFEM_sppCD,GCBM_GenSppCD,TreeType,DUFF_LITTER_BIOMASS_Ref,DUFF_BD,LITTER_BD,TREE_BIOMASS_Ref,BIOMASS_DBH_Bwood1,BIOMASS_DBH_Bwood2,BIOMASS_DBH_Bbark1,BIOMASS_DBH_Bbark2,BIOMASS_DBH_Bbranches1,BIOMASS_DBH_Bbranches2,BIOMASS_DBH_Bfoliage1,BIOMASS_DBH_Bfoliage2,BIOMASS_DBH-HT_Bwood1,BIOMASS_DBH-HT_Bwood2,BIOMASS_DBH-HT_Bwood3,BIOMASS_DBH-HT_Bbark1,BIOMASS_DBH-HT_Bbark2,BIOMASS_DBH-HT_Bbark3,BIOMASS_DBH-HT_Bbranches1,BIOMASS_DBH-HT_Bbranches2,BIOMASS_DBH-HT_Bbranches3,BIOMASS_DBH-HT_Bfoliage1,BIOMASS_DBH-HT_Bfoliage2,BIOMASS_DBH-HT_Bfoliage3
T,T - yew,TAXUS,TAXUS,softwood,Woodall and Monleon 2008 (Hemlock/Sitka spruce),76.24788564,29.63415723,XC - Ung 2008,0.0564,2.4347,0.0153,2.211,0.0194,2.2408,0.0935,1.6106,0.0276,1.6868,1.0953,0.0101,1.8486,0.5525,0.0313,2.9974,-1.0383,0.1379,2.3981,-1.0418
TW,TW - western or pacific yew,TABR,TABR,softwood,Woodall and Monleon 2008 (Hemlock/Sitka spruce),76.24788564,29.63415723,XC - Ung 2008,0.0564,2.4347,0.0153,2.211,0.0194,2.2408,0.0935,1.6106,0.0276,1.6868,1.0953,0.0101,1.8486,0.5525,0.0313,2.9974,-1.0383,0.1379,2.3981,-1.0418
UP,UP - pacific crab apple (malus fusca),MACO,MACO,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,VL - Lambert 2005,0.3743,1.9406,0.0679,1.8377,0.0796,2.0103,0.084,1.2319,0.0181,1.7013,1.3057,0.0101,1.5956,0.919,0.0005,2.8004,0.8603,0.1976,1.4421,-0.5264
V,V - cherry (n),PRUSPP,PRUNUS,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,VL - Lambert 2005,0.3743,1.9406,0.0679,1.8377,0.0796,2.0103,0.084,1.2319,0.0181,1.7013,1.3057,0.0101,1.5956,0.919,0.0005,2.8004,0.8603,0.1976,1.4421,-0.5264
VB,VB - bitter cherry (n),PREM,PREM,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,VL - Lambert 2005,0.3743,1.9406,0.0679,1.8377,0.0796,2.0103,0.084,1.2319,0.0181,1.7013,1.3057,0.0101,1.5956,0.919,0.0005,2.8004,0.8603,0.1976,1.4421,-0.5264
VL,VL - black cherry,PRSE,PRSE,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,VL - Lambert 2005,0.3743,1.9406,0.0679,1.8377,0.0796,2.0103,0.084,1.2319,0.0181,1.7013,1.3057,0.0101,1.5956,0.919,0.0005,2.8004,0.8603,0.1976,1.4421,-0.5264
VP,VP - pin cherry,PRPE,PRPE,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,VL - Lambert 2005,0.3743,1.9406,0.0679,1.8377,0.0796,2.0103,0.084,1.2319,0.0181,1.7013,1.3057,0.0101,1.5956,0.919,0.0005,2.8004,0.8603,0.1976,1.4421,-0.5264
VW,VW - choke cherry,PRVI,PRVI,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,VL - Lambert 2005,0.3743,1.9406,0.0679,1.8377,0.0796,2.0103,0.084,1.2319,0.0181,1.7013,1.3057,0.0101,1.5956,0.919,0.0005,2.8004,0.8603,0.1976,1.4421,-0.5264
W,W - willow,SALIX,SALIX,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
WA,WA - barclay's willow,SABA,SABA,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
